Rk,Player,Age,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
1,Brook Lopez,34,78,2373,18.4,0.63,0.405,0.211,7.2,15.3,11.4,6.1,0.7,6.7,9.8,19.3,,4.1,3.9,8,0.161,,0.8,1.3,2.1,2.5
2,Jrue Holiday,32,67,2183,19.2,0.586,0.402,0.173,3.9,12,8.1,34.4,1.7,0.9,15.2,25,,3.9,2.8,6.7,0.148,,3,0.1,3.1,2.8
3,Giannis Antetokounmpo,28,63,2024,29,0.605,0.134,0.604,7.3,30,19.1,33.2,1.2,2.1,13.2,38.8,,4.9,3.7,8.6,0.204,,5.8,2.7,8.5,5.4
4,Grayson Allen,27,72,1972,12.3,0.612,0.657,0.226,3.4,9,6.3,10.9,1.5,0.6,10.5,14.6,,2.8,2.2,5.1,0.123,,-0.6,0.7,0.1,1
5,Bobby Portis,27,70,1818,17.8,0.575,0.32,0.156,9.2,28.6,19.3,8.7,0.8,0.7,8.6,21.7,,2.5,2.8,5.3,0.139,,1.2,-0.6,0.7,1.2
6,Jevon Carter,27,81,1810,10.9,0.56,0.596,0.067,2.1,9.3,5.8,14.5,1.7,1.3,11.8,15.3,,1.2,2.3,3.5,0.092,,-1.9,1.2,-0.6,0.6
7,Pat Connaughton,30,61,1443,10,0.531,0.765,0.097,3.8,16.2,10.2,6.9,1.2,0.6,7,13.8,,0.7,1.8,2.5,0.085,,-1.3,0.3,-1,0.3
8,Joe Ingles,35,46,1044,10.7,0.616,0.819,0.085,1.4,11.1,6.4,18.4,1.5,0.5,17.6,12.6,,1.1,1.2,2.3,0.107,,-1.6,0.8,-0.7,0.3
9,Wesley Matthews,36,52,820,7,0.519,0.775,0.175,4.5,9.7,7.2,5.1,1.2,1.3,9.5,9.8,,0.3,0.9,1.2,0.073,,-3.4,0.8,-2.7,-0.1
10,Khris Middleton,31,33,801,17.4,0.551,0.399,0.251,3.8,14,9.1,30.7,1.4,0.5,13.6,27.4,,1,1,1.9,0.117,,1,-0.3,0.8,0.6
11,MarJon Beauchamp,22,52,701,8.2,0.513,0.584,0.152,5.9,11,8.5,6.7,1.4,0.8,14.8,18.3,,-0.4,0.8,0.4,0.027,,-4.1,-0.6,-4.8,-0.5
12,George Hill,36,35,668,9.8,0.575,0.561,0.348,2.1,8.1,5.2,16.8,1.4,0.4,15.1,11.3,,0.7,0.7,1.4,0.1,,-2.8,1.2,-1.7,0
13,Jordan Nwora,24,38,597,10,0.53,0.518,0.218,5.3,14.8,10.2,8.4,1,1,13.6,17.6,,0,0.7,0.7,0.057,,-2,-0.4,-2.4,0
14,A.J. Green,23,35,345,11.5,0.607,0.84,0.032,1.9,11.3,6.8,8.7,0.8,0,6.6,16.6,,0.5,0.3,0.8,0.111,,-0.3,-0.6,-0.9,0.1
15,Jae Crowder,32,18,340,14.6,0.624,0.585,0.128,5.4,15.3,10.6,10.6,1.7,1.4,6.6,13.2,,0.7,0.5,1.2,0.165,,0.1,1.1,1.2,0.3
16,Sandro Mamukelashvili,23,24,217,8.5,0.432,0.552,0.31,9,17.6,13.4,9.3,0.9,1.9,12,14.5,,-0.1,0.3,0.2,0.049,,-4,0.4,-3.6,-0.1
17,Thanasis Antetokounmpo,30,37,206,6.7,0.458,0.174,0.478,7.9,14.1,11.1,9.3,0.7,1.2,17.7,13.8,,-0.1,0.2,0.1,0.022,,-6.5,-1.1,-7.6,-0.3
18,Serge Ibaka,33,16,185,9.8,0.553,0.333,0.241,8.8,15.7,12.4,2.9,0.5,3.1,15.6,16.1,,0,0.2,0.2,0.058,,-4.6,0,-4.5,-0.1
19,Meyers Leonard,30,9,114,12,0.652,0.621,0.31,11.4,19.4,15.5,1.2,0.8,0,15.4,14.4,,0.2,0.1,0.3,0.126,,-2.8,-2.2,-5,-0.1
20,Lindell Wigginton,24,7,87,11.8,0.61,0.486,0.243,0,8.1,4.2,23.8,0,1.9,22.7,25.6,,0,0.1,0.1,0.028,,-3.1,-3.6,-6.7,-0.1
21,Goran DragiÄ‡,36,7,83,11.4,0.516,0.472,0.111,3.9,10.9,7.5,20.2,1.2,0,15.6,22.7,,0,0.1,0.1,0.037,,-2.3,-2.9,-5.2,-0.1
